"","Gemeindeschlüssel","plz","ort","leistung","inbetriebnahme","anlagenschluessel","menge_kwh","flh","menge_mwh"
"1",731700000,66955,"Pirmasens",1500,2003-11-03,"E301610166955AAAD1001086600000000",2578947,1719.298,2579
"2",733307078,67823,"Unkenbach",1000,1999-03-11,"E30254010000000000005230787201685",540968,540.968,541
"3",733307078,67823,"Unkenbach",1000,2000-08-22,"E30254010000000000005230787201686",540964,540.964,541
"4",733307078,67823,"Unkenbach",1000,1999-09-03,"E30254010000000000005230787206689",540968,540.968,541
"5",733511031,66851,"Oberarnbach",1000,1999-10-27,"E30254010000000000005230787301688",1861320,1861.32,1861
"6",733511031,66851,"Oberarnbach",1000,2001-12-31,"E30254010000000000005230787301689",1861318,1861.318,1861
"7",733511031,66851,"Oberarnbach",1000,2000-05-29,"E30254010000000000005230787306704",1861320,1861.32,1861
"8",734003053,66957,"Vinningen",1650,2001-07-25,"E30254010000000000005230787601693",1752357,1062.03454545455,1752
"9",734003053,66957,"Vinningen",1650,2000-12-07,"E30254010000000000005230787601694",1752359,1062.03575757576,1752
"10",734003053,66957,"Vinningen",1650,2000-12-06,"E30254010000000000005230787606677",1752359,1062.03575757576,1752
"11",733510029,67700,"Niederkirchen",500,2000-11-23,"E30254010000000000005230787721589",923038,1846.076,923
"12",733207044,67311,"Tiefenthal",1800,2001-09-21,"E30254010000000000005230788001702",3191170,1772.87222222222,3191
"13",733207044,67311,"Tiefenthal",1800,2001-09-19,"E30254010000000000005230788004100",3052335,1695.74166666667,3052
"14",713301030,67824,"Feilbingert",600,2001-07-09,"E30254010000000000005230788101704",779142,1298.57,779
"15",713301030,67824,"Feilbingert",600,2001-07-09,"E30254010000000000005230788101705",779142,1298.57,779
"16",713301030,67824,"Feilbingert",600,2001-07-09,"E30254010000000000005230788104101",779144,1298.57333333333,779
"17",734009216,66894,"Krähenberg",660,2001-09-06,"E30254010000000000005230788206674",998946,1513.55454545455,999
"18",734009055,66919,"Weselberg",1800,2002-06-27,"E30254010000000000005230788301708",3228972,1793.87333333333,3229
"19",734009055,66919,"Weselberg",1380,2002-06-04,"E30254010000000000005230788301709",2475541,1793.87028985507,2476
"20",734009055,66919,"Weselberg",1800,2002-01-15,"E30254010000000000005230788306675",3228967,1793.87055555556,3229
"21",733608087,67753,"Rothselberg",600,1999-12-29,"E30254010000000000005230788501711",0,0,0
"22",733608087,67753,"Rothselberg",600,1999-12-29,"E30254010000000000005230788501712",0,0,0
"23",733608087,67753,"Rothselberg",600,1999-12-29,"E30254010000000000005230788501713",0,0,0
"24",733608087,67753,"Rothselberg",600,1999-12-30,"E30254010000000000005230788501714",0,0,0
"25",733608087,67753,"Rothselberg",600,2000-01-05,"E30254010000000000005230788501715",0,0,0
"26",733608087,67753,"Rothselberg",600,2000-01-07,"E30254010000000000005230788501716",0,0,0
"27",733608087,67753,"Rothselberg",1600,2003-12-19,"E30254010000000000005230788501717",3222497,2014.060625,3222
"28",733207029,67271,"Kindenheim",1800,2003-07-24,"E30254010000000000005230788601719",2534800,1408.22222222222,2535
"29",733207029,67271,"Kindenheim",1800,2003-07-17,"E30254010000000000005230788601720",2534800,1408.22222222222,2535
"30",733207029,67271,"Kindenheim",1800,2003-07-30,"E30254010000000000005230788607050",2534807,1408.22611111111,2535
"31",733511037,66851,"Queidersbach",2000,2002-06-12,"E30254010000000000005230788701721",3628567,1814.2835,3629
"32",733303012,67308,"Bubenheim",600,2000-04-14,"E30254010000000000005230789101724",0,0,0
"33",733303501,67308,"Zellertal-Harxheim",600,2000-01-31,"E30254010000000000005230789101725",0,0,0
"34",733207029,67271,"Kindenheim",600,1999-04-09,"E30254010000000000005230789101726",0,0,0
"35",733207029,67271,"Kindenheim",600,2001-10-12,"E30254010000000000005230789101727",0,0,0
"36",733303058,67308,"Ottersheim",600,1999-04-09,"E30254010000000000005230789106695",0,0,0
"37",733207029,67271,"Kindenheim",1500,2000-10-01,"E30254010000000000005230789142762",2047118,1364.74533333333,2047
"38",733401001,76756,"Bellheim",1500,2003-12-21,"E30254010000000000005230789301729",2586021,1724.014,2586
"39",733401001,76756,"Bellheim",1500,2003-12-21,"E30254010000000000005230789301730",2586019,1724.01266666667,2586
"40",733401001,76756,"Bellheim",1500,2003-12-17,"E30254010000000000005230789306702",2586021,1724.014,2586
"41",733510033,67737,"Olsbrücken",1800,2004-07-16,"E30254010000000000005230789401732",2218112,1232.28444444444,2218
"42",733510033,67737,"Olsbrücken",1800,2004-07-27,"E30254010000000000005230789401733",2218107,1232.28166666667,2218
"43",733510029,67700,"Niederkirchen",2000,2005-03-24,"E30254010000000000005230789401734",2693297,1346.6485,2693
"44",733510029,67700,"Niederkirchen",2000,2005-03-24,"E30254010000000000005230789401735",2693297,1346.6485,2693
"45",733510029,67700,"Niederkirchen",2000,2004-11-30,"E30254010000000000005230789401736",2693297,1346.6485,2693
"46",733510029,67700,"Niederkirchen",2000,2004-12-02,"E30254010000000000005230789401737",2693297,1346.6485,2693
"47",733510029,67700,"Niederkirchen",2000,2006-03-22,"E30254010000000000005230789401738",3039955,1519.9775,3040
"48",733510029,67700,"Niederkirchen",2000,2006-05-08,"E30254010000000000005230789401739",3039955,1519.9775,3040
"49",733510029,67700,"Niederkirchen",2000,2006-03-30,"E30254010000000000005230789401740",3039955,1519.9775,3040
"50",733510029,67700,"Niederkirchen",2000,2006-05-18,"E30254010000000000005230789401741",3039955,1519.9775,3040
"51",733510029,67700,"Niederkirchen",2000,2006-05-24,"E30254010000000000005230789401742",3039955,1519.9775,3040
"52",733510029,67700,"Niederkirchen",2000,2006-04-07,"E30254010000000000005230789401743",3039957,1519.9785,3040
"53",733608036,67753,"Hefersweiler",2300,2009-01-08,"E30254010000000000005230789408782",2451952,1066.06608695652,2452
"54",733608036,67753,"Hefersweiler",2300,2009-01-13,"E30254010000000000005230789408817",2451952,1066.06608695652,2452
"55",733608085,67753,"Reipoltskirchen",2300,2009-01-14,"E30254010000000000005230789408818",2451952,1066.06608695652,2452
"56",733608086,67753,"Relsberg",2300,2009-01-12,"E30254010000000000005230789408838",2451948,1066.06434782609,2452
"57",733406025,76761,"Rülzheim",1500,2005-10-01,"E30254010000000000005230789801746",2409735,1606.49,2410
"58",733406025,76761,"Rülzheim",1500,2005-10-10,"E30254010000000000005230789801747",2409735,1606.49,2410
"59",733704039,76863,"Herxheimweyher",1500,2005-12-31,"E30254010000000000005230789801748",2409735,1606.49,2410
"60",733704039,76863,"Herxheimweyher",1500,2005-12-31,"E30254010000000000005230789801749",2409735,1606.49,2410
"61",733704039,76863,"Herxheimweyher",1500,2005-12-31,"E30254010000000000005230789801750",2409734,1606.48933333333,2410
"62",733406025,76761,"Rülzheim",1500,2005-10-01,"E30254010000000000005230789807055",2409735,1606.49,2410
"63",733200025,67454,"Haßloch",1500,2005-12-23,"E30254010000000000005230790301752",2061039,1374.026,2061
"64",733200025,67454,"Haßloch",1500,2005-12-16,"E30254010000000000005230790306701",2061046,1374.03066666667,2061
"65",734006022,66989,"Höheinöd",2300,2006-02-02,"E30254010000000000005230790601754",3190771,1387.29173913043,3191
"66",734006022,66989,"Höheinöd",2000,2006-08-17,"E30254010000000000005230790601755",2774589,1387.2945,2775
"67",734006022,66989,"Höheinöd",2300,2006-01-24,"E30254010000000000005230790606676",3190771,1387.29173913043,3191
"68",733404020,76872,"Minfeld",1500,2004-09-22,"E30254010000000000005230791001762",2572520,1715.01333333333,2573
"69",733404020,76872,"Minfeld",1500,2004-09-14,"E30254010000000000005230791001763",2572520,1715.01333333333,2573
"70",733404020,76872,"Minfeld",1500,2004-09-15,"E30254010000000000005230791001764",2572520,1715.01333333333,2573
"71",733404020,76872,"Minfeld",1500,2004-09-22,"E30254010000000000005230791006703",2572519,1715.01266666667,2573
"72",733404020,76872,"Minfeld",2000,2009-02-12,"E30254010000000000005230791008781",3709257,1854.6285,3709
"73",734009216,66894,"Krähenberg",1250,2003-03-28,"E30254010000000000005230797401809",1524188,1219.3504,1524
"74",734009216,66894,"Krähenberg",1250,2003-03-25,"E30254010000000000005230797401810",1524188,1219.3504,1524
"75",734009216,66894,"Krähenberg",1250,2003-03-19,"E30254010000000000005230797401811",1524188,1219.3504,1524
"76",734009216,66894,"Krähenberg",1250,2003-03-31,"E30254010000000000005230797401812",1524188,1219.3504,1524
"77",734009216,66894,"Krähenberg",1250,2003-03-31,"E30254010000000000005230797405750",1524185,1219.348,1524
"78",733405028,67365,"Schwegenheim",1500,2006-01-17,"E30254010000000000005230797501801",2396175,1597.45,2396
"79",733405028,67365,"Schwegenheim",1500,2006-01-31,"E30254010000000000005230797501802",2396176,1597.45066666667,2396
"80",733405028,67365,"Schwegenheim",1500,2005-12-23,"E30254010000000000005230797501803",2396175,1597.45,2396
"81",733610052,66871,"Konken",850,2002-02-01,"E30254010000000000005230797601805",1048752,1233.82588235294,1049
"82",733610052,66871,"Konken",850,2002-02-01,"E30254010000000000005230797601806",1048752,1233.82588235294,1049
"83",733610052,66871,"Konken",850,2002-02-01,"E30254010000000000005230797601807",1048752,1233.82588235294,1049
"84",733610052,66871,"Konken",850,2002-02-01,"E30254010000000000005230797606681",1048747,1233.82,1049
"85",733307008,67806,"Bisterschied",1500,2000-04-10,"E30254010000000000005230822702034",2359992,1573.328,2360
"86",733307008,67806,"Bisterschied",500,1999-11-04,"E30254010000000000005230822707035",886724,1773.448,887
"87",733303012,67308,"Bubenheim",1500,2002-11-12,"E30254010000000000005230823206696",2383676,1589.11733333333,2384
"88",733501203,66894,"Martinshöhe",1000,2000-12-28,"E30254010000000000005230823306682",1334678,1334.678,1335
"89",733608074,67748,"Odenbach",600,2004-12-28,"E30254010000000000005230823402040",806722,1344.53666666667,807
"90",733608074,67748,"Odenbach",600,2004-12-28,"E30254010000000000005230823407054",806716,1344.52666666667,807
"91",733610103,66887,"Welchweiler",1750,2003-12-22,"E30254010000000000005230826706683",1471633,840.933142857143,1472
"92",733307008,67806,"Bisterschied",1800,2004-02-27,"E30254010000000000005230827307061",3272539,1818.07722222222,3273
"93",733304031,67294,"Ilbesheim",500,1998-02-05,"E30254010000000000005230837706693",815172,1630.344,815
"94",733304040,67819,"Kriegsfeld",1800,2000-12-21,"E30254010000000000005230838106691",3368472,1871.37333333333,3368
"95",733608069,67759,"Nußbach",600,2002-05-07,"E30254010000000000005230876501820",1027786,1712.97666666667,1028
"96",733608069,67759,"Nußbach",1600,2003-12-12,"E30254010000000000005230888706707",3298488,2061.555,3298
"97",733807023,67354,"Römerberg",2000,2006-04-13,"E30254010000000000005230940402446",3296043,1648.0215,3296
"98",733807023,67354,"Römerberg",2000,2008-10-01,"E30254010000000000005230940406757",3231647,1615.8235,3232
"99",733509501,66879,"Reichenbach-Steegen",2000,2003-02-14,"E30254010000000000005231606303528",3188806,1594.403,3189
"100",733509501,66879,"Reichenbach-Steegen",2000,2003-01-19,"E30254010000000000005231606303529",3188806,1594.403,3189
"101",733509501,66879,"Reichenbach-Steegen",2000,2003-01-16,"E30254010000000000005231606303530",3188806,1594.403,3189
"102",733509501,66879,"Reichenbach-Steegen",2000,2002-12-28,"E30254010000000000005231606303531",3188806,1594.403,3189
"103",733509501,66879,"Reichenbach-Steegen",2000,2002-12-29,"E30254010000000000005231606303532",3188806,1594.403,3189
"104",733608087,67753,"Rothselberg",2000,2004-12-08,"E30254010000000000005231606303533",2665291,1332.6455,2665
"105",733608087,67753,"Rothselberg",2000,2004-12-02,"E30254010000000000005231606303534",2665287,1332.6435,2665
"106",733302038,67304,"Kerzenheim",1650,2000-10-19,"E30254010000000000005231607403543",1720264,1042.58424242424,1720
"107",733302038,67304,"Kerzenheim",1500,2003-08-20,"E30254010000000000005231615906699",1909567,1273.04466666667,1910
"108",733609047,66909,"Hüffler",2000,2007-02-28,"E30254010000000000005231640303562",3932354,1966.177,3932
"109",733609047,66909,"Hüffler",2000,2007-02-21,"E30254010000000000005231640307069",3932357,1966.1785,3932
"110",734006016,66919,"Hermersberg",800,2007-08-09,"E30254010000000000005231819004016",1309086,1636.3575,1309
"111",734006016,66919,"Hermersberg",800,2007-08-07,"E30254010000000000005231819006705",1309086,1636.3575,1309
"112",734006016,66919,"Hermersberg",2000,2008-07-10,"E30254010000000000005231819007703",4486481,2243.2405,4486
"113",734006016,66919,"Hermersberg",2000,2008-07-29,"E30254010000000000005231819007704",4486483,2243.2415,4486
"114",733610103,66887,"Welchweiler",2000,2007-08-03,"E30254010000000000005231821504019",2205458,1102.729,2205
"115",734006054,67714,"Waldfischbach-Burgalben",2000,2007-12-28,"E30254010000000000005232123306711",3450699,1725.3495,3451
"116",734006022,66989,"Höheinöd",2000,2007-12-27,"E30254010000000000005232123306712",3450704,1725.352,3451
"117",734006054,67714,"Waldfischbach-Burgalben",2000,2008-01-30,"E30254010000000000005232123306713",3450699,1725.3495,3451
"118",733707061,76877,"Offenbach",2000,2008-03-04,"E30254010000000000005232263805059",3938210,1969.105,3938
"119",733707061,76877,"Offenbach",2000,2008-03-17,"E30254010000000000005232263805060",3938210,1969.105,3938
"120",733707061,76877,"Offenbach",2000,2008-03-08,"E30254010000000000005232263805061",3938208,1969.104,3938
"121",733807023,67354,"Römerberg",2000,2008-10-07,"E30254010000000000005232790909814",3231647,1615.8235,3232
"122",734008221,66484,"Riedelberg",2300,2009-02-27,"E30254010000000000005232855709017",2919677,1269.4247826087,2920
