"","gem","plz","ort","leistung","inbetriebnahme","anlagenschluessel","menge_kwh","flh","menge_mwh"
"1",731700000,66955,"Pirmasens",1500,2003-11-03,"E301610166955AAAD1001086600000000",2932902,1955.268,2933
"2",733307078,67823,"Unkenbach",1000,2000-08-22,"E30254010000000000005230787201686",1515606,1515.606,1516
"3",733511031,66851,"Oberarnbach",1000,1999-10-27,"E30254010000000000005230787301688",1690809,1690.809,1691
"4",733511031,66851,"Oberarnbach",1000,2001-12-31,"E30254010000000000005230787301689",1690811,1690.811,1691
"5",733511031,66851,"Oberarnbach",1000,2000-05-29,"E30254010000000000005230787306704",1690811,1690.811,1691
"6",734003053,66957,"Vinningen",1650,2001-07-25,"E30254010000000000005230787601693",1286879,779.926666666667,1287
"7",734003053,66957,"Vinningen",1650,2000-12-06,"E30254010000000000005230787606677",1286882,779.928484848485,1287
"8",733510029,67700,"Niederkirchen",500,2000-11-23,"E30254010000000000005230787721589",898278,1796.556,898
"9",733207044,67311,"Tiefenthal",1800,2001-09-21,"E30254010000000000005230788001702",3254568,1808.09333333333,3255
"10",733207044,67311,"Tiefenthal",1800,2001-09-19,"E30254010000000000005230788004100",3112976,1729.43111111111,3113
"11",713301030,67824,"Feilbingert",600,2001-07-09,"E30254010000000000005230788101704",732484,1220.80666666667,732
"12",713301030,67824,"Feilbingert",600,2001-07-09,"E30254010000000000005230788101705",732484,1220.80666666667,732
"13",713301030,67824,"Feilbingert",600,2001-07-09,"E30254010000000000005230788104101",732480,1220.8,732
"14",734009216,66894,"Krähenberg",660,2001-09-06,"E30254010000000000005230788206674",993959,1505.99848484848,994
"15",734009055,66919,"Weselberg",1800,2002-06-27,"E30254010000000000005230788301708",3170562,1761.42333333333,3171
"16",734009055,66919,"Weselberg",1380,2002-06-04,"E30254010000000000005230788301709",2445573,1772.15434782609,2446
"17",734009055,66919,"Weselberg",1800,2002-01-15,"E30254010000000000005230788306675",3170560,1761.42222222222,3171
"18",733608087,67753,"Rothselberg",1600,2003-12-19,"E30254010000000000005230788501717",1073544,670.965,1074
"19",733207029,67271,"Kindenheim",1800,2003-07-24,"E30254010000000000005230788601719",2518435,1399.13055555556,2518
"20",733207029,67271,"Kindenheim",1800,2003-07-17,"E30254010000000000005230788601720",2518435,1399.13055555556,2518
"21",733207029,67271,"Kindenheim",1800,2003-07-30,"E30254010000000000005230788607050",2518436,1399.13111111111,2518
"22",733511037,66851,"Queidersbach",2000,2002-06-12,"E30254010000000000005230788701721",3308188,1654.094,3308
"23",733401001,76756,"Bellheim",1500,2003-12-21,"E30254010000000000005230789301729",2282789,1521.85933333333,2283
"24",733401001,76756,"Bellheim",1500,2003-12-21,"E30254010000000000005230789301730",2282789,1521.85933333333,2283
"25",733401001,76756,"Bellheim",1500,2003-12-17,"E30254010000000000005230789306702",2282790,1521.86,2283
"26",733510033,67737,"Olsbrücken",1800,2004-07-16,"E30254010000000000005230789401732",2073185,1151.76944444444,2073
"27",733510033,67737,"Olsbrücken",1800,2004-07-27,"E30254010000000000005230789401733",2073177,1151.765,2073
"28",733510029,67700,"Niederkirchen",2000,2005-03-24,"E30254010000000000005230789401734",2554238,1277.119,2554
"29",733510029,67700,"Niederkirchen",2000,2005-03-24,"E30254010000000000005230789401735",2554238,1277.119,2554
"30",733510029,67700,"Niederkirchen",2000,2004-11-30,"E30254010000000000005230789401736",2554238,1277.119,2554
"31",733510029,67700,"Niederkirchen",2000,2004-12-02,"E30254010000000000005230789401737",2554238,1277.119,2554
"42",733704039,76863,"Herxheimweyher",1500,2005-10-01,"E30254010000000000005230789801746",2411405,1607.60333333333,2411
"43",733704039,76863,"Herxheimweyher",1500,2005-10-10,"E30254010000000000005230789801747",2411405,1607.60333333333,2411
"47",733704039,76863,"Herxheimweyher",1500,2005-10-01,"E30254010000000000005230789807055",2411405,1607.60333333333,2411
"48",733200025,67454,"Haßloch",1500,2005-12-23,"E30254010000000000005230790301752",2143091,1428.72733333333,2143
"49",733200025,67454,"Haßloch",1500,2005-12-16,"E30254010000000000005230790306701",2143096,1428.73066666667,2143
"53",733404020,76872,"Minfeld",1500,2004-09-22,"E30254010000000000005230791001762",2504323,1669.54866666667,2504
"54",733404020,76872,"Minfeld",1500,2004-09-14,"E30254010000000000005230791001763",2504323,1669.54866666667,2504
"55",733404020,76872,"Minfeld",1500,2004-09-15,"E30254010000000000005230791001764",2504323,1669.54866666667,2504
"56",733404020,76872,"Minfeld",1500,2004-09-22,"E30254010000000000005230791006703",2504323,1669.54866666667,2504
"58",734009216,66894,"Krähenberg",1250,2003-03-28,"E30254010000000000005230797401809",1252114,1001.6912,1252
"59",734009216,66894,"Krähenberg",1250,2003-03-25,"E30254010000000000005230797401810",1252114,1001.6912,1252
"60",734009216,66894,"Krähenberg",1250,2003-03-19,"E30254010000000000005230797401811",1374979,1099.9832,1375
"61",734009216,66894,"Krähenberg",1250,2003-03-31,"E30254010000000000005230797401812",1374979,1099.9832,1375
"62",734009216,66894,"Krähenberg",1250,2003-03-31,"E30254010000000000005230797405750",1374978,1099.9824,1375
"65",733405028,67365,"Schwegenheim",1500,2005-12-23,"E30254010000000000005230797501803",1833372,1222.248,1833
"66",733610052,66871,"Konken",850,2002-02-01,"E30254010000000000005230797601805",1134210,1334.36470588235,1134
"67",733610052,66871,"Konken",850,2002-02-01,"E30254010000000000005230797601806",1134210,1334.36470588235,1134
"68",733610052,66871,"Konken",850,2002-02-01,"E30254010000000000005230797601807",1134210,1334.36470588235,1134
"69",733610052,66871,"Konken",850,2002-02-01,"E30254010000000000005230797606681",1134204,1334.35764705882,1134
"70",733307008,67806,"Bisterschied",1500,2000-04-10,"E30254010000000000005230822702034",1975377,1316.918,1975
"71",733307008,67806,"Bisterschied",500,1999-11-04,"E30254010000000000005230822707035",742214,1484.428,742
"72",733501203,66894,"Martinshöhe",1000,2000-12-28,"E30254010000000000005230823306682",1169164,1169.164,1169
"73",733608074,67748,"Odenbach",600,2004-12-28,"E30254010000000000005230823402040",716942,1194.90333333333,717
"74",733608074,67748,"Odenbach",600,2004-12-28,"E30254010000000000005230823407054",716934,1194.89,717
"75",733610103,66887,"Welchweiler",1750,2003-12-22,"E30254010000000000005230826706683",1186884,678.219428571429,1187
"76",733307008,67806,"Bisterschied",1800,2004-02-27,"E30254010000000000005230827307061",2707546,1504.19222222222,2708
"77",733304031,67294,"Ilbesheim",500,1998-02-05,"E30254010000000000005230837706693",725465,1450.93,725
"78",733304040,67819,"Kriegsfeld",1800,2000-12-21,"E30254010000000000005230838106691",3120769,1733.76055555556,3121
"79",733608069,67759,"Nußbach",600,2002-05-07,"E30254010000000000005230876501820",1022546,1704.24333333333,1023
"80",733608069,67759,"Nußbach",1600,2003-12-12,"E30254010000000000005230888706707",3219360,2012.1,3219
